HEADER		
'time'		'total volume'
UNITS		
's'	'cm^3'	
96.59982	5.366656	
96.70039	5.372243	
96.79591	5.37755	
96.88759	5.382643	
96.97632	5.387573	
97.06279	5.392377	
97.14758	5.397087	
97.23117	5.401731	
97.31401	5.406333	
97.39655	5.410919	
97.47926	5.415514	
97.56259	5.420144	
97.6471	5.424839	
97.73334	5.42963	
97.82199	5.434554	
97.91382	5.439656	
98.0097	5.444983	
98.11074	5.450596	
98.21829	5.456571	
98.33398	5.462998	
98.45974	5.469985	
98.58064	5.476702	
98.691	5.482833	
98.79389	5.488549	
98.89118	5.493954	
98.98421	5.499123	
99.07398	5.50411	
99.16125	5.508958	
99.24663	5.513701	
99.33063	5.518368	
99.41371	5.522984	
99.49632	5.527573	
99.57892	5.532162	
99.66197	5.536776	
99.74597	5.541443	
99.8315	5.546194	
99.91914	5.551063	
100.0097	5.556093	
100.1039	5.561328	
100.2028	5.566824	
100.3077	5.572652	
100.4201	5.578897	
100.5418	5.585655	
100.6679	5.592663	
100.7818	5.598991	
100.8873	5.604849	
100.9865	5.610363	
101.0811	5.615614	
101.172	5.620664	
101.2601	5.625561	
101.3462	5.630342	
101.4306	5.635034	
101.514	5.639667	
101.5968	5.644264	
101.6793	5.648851	
101.7622	5.653453	
101.8458	5.658097	
101.9307	5.662814	
102.0174	5.667635	
102.1068	5.6726	
102.1996	5.677752	
102.2966	5.683144	
102.3991	5.688839	
102.5085	5.694917	
102.6265	5.701471	
102.7551	5.708617	
102.8729	5.715163	
102.9812	5.721177	
103.0825	5.726807	
103.1786	5.732146	
103.2708	5.737265	
103.3599	5.742214	
103.4466	5.747034	
103.5316	5.751757	
103.6154	5.756409	
103.6983	5.761017	
103.7809	5.765606	
103.8636	5.7702	
103.9469	5.774826	
104.0312	5.779513	
104.1173	5.784293	
104.2056	5.789201	
104.2971	5.794281	
104.3924	5.799579	
104.4928	5.805156	
104.5995	5.811085	
104.7142	5.817455	
104.8387	5.82437	
104.9612	5.83118	
105.0728	5.837375	
105.1765	5.843138	
105.2744	5.84858	
105.368	5.853776	
105.4581	5.858785	
105.5457	5.863651	
105.6313	5.868407	
105.7155	5.873084	
105.7987	5.877706	
105.8814	5.8823	
105.964	5.886889	
106.047	5.8915	
106.1309	5.896161	
106.2163	5.900903	
106.3036	5.905757	
106.3938	5.910767	
106.4876	5.915976	
106.5859	5.92144	
106.6901	5.927226	
106.8015	5.933418	
106.922	5.940111	
107.05	5.947219	
107.1651	5.953614	
107.2714	5.959521	
107.3713	5.965071	
107.4663	5.97035	
107.5576	5.975423	
107.6461	5.980338	
107.7324	5.985131	
107.817	5.989835	
107.9006	5.994475	
107.9834	5.999077	
108.066	6.003665	
108.1488	6.008266	
108.2323	6.012906	
108.3171	6.017615	
108.4037	6.022425	
108.4927	6.027374	
108.5851	6.032506	
