# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min pressure = 6000000.0, max pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 9.20000000000e+01, 1.70000000000e+07, 9.71554130211e+02, 3.11691308829e-04, 3.98502743745e+05
 9.20000000000e+01, 1.80000000000e+07, 9.71993242884e+02, 3.11959092786e-04, 3.99275004993e+05
 9.20000000000e+01, 1.90000000000e+07, 9.72431224930e+02, 3.12226700802e-04, 4.00047397813e+05
 9.20000000000e+01, 2.00000000000e+07, 9.72868083846e+02, 3.12494136837e-04, 4.00819918947e+05
 9.20000000000e+01, 2.10000000000e+07, 9.73303827041e+02, 3.12761404799e-04, 4.01592565185e+05
 9.20000000000e+01, 2.20000000000e+07, 9.73738461842e+02, 3.13028508543e-04, 4.02365333368e+05
 9.20000000000e+01, 2.30000000000e+07, 9.74171995493e+02, 3.13295451875e-04, 4.03138220382e+05
 9.20000000000e+01, 2.40000000000e+07, 9.74604435157e+02, 3.13562238551e-04, 4.03911223164e+05
 9.20000000000e+01, 2.50000000000e+07, 9.75035787918e+02, 3.13828872277e-04, 4.04684338694e+05
 9.20000000000e+01, 2.60000000000e+07, 9.75466060779e+02, 3.14095356710e-04, 4.05457564000e+05
 9.25000000000e+01, 6.00000000000e+06, 9.66308668068e+02, 3.07016248700e-04, 3.92114714142e+05
 9.25000000000e+01, 7.00000000000e+06, 9.66761266020e+02, 3.07286217044e-04, 3.92884215951e+05
 9.25000000000e+01, 8.00000000000e+06, 9.67212639810e+02, 3.07555958338e-04, 3.93653894976e+05
 9.25000000000e+01, 9.00000000000e+06, 9.67662798044e+02, 3.07825477197e-04, 3.94423747290e+05
 9.25000000000e+01, 1.00000000000e+07, 9.68111749225e+02, 3.08094778170e-04, 3.95193769030e+05
 9.25000000000e+01, 1.10000000000e+07, 9.68559501750e+02, 3.08363865745e-04, 3.95963956391e+05
 9.25000000000e+01, 1.20000000000e+07, 9.69006063918e+02, 3.08632744347e-04, 3.96734305630e+05
 9.25000000000e+01, 1.30000000000e+07, 9.69451443926e+02, 3.08901418342e-04, 3.97504813058e+05
 9.25000000000e+01, 1.40000000000e+07, 9.69895649876e+02, 3.09169892033e-04, 3.98275475048e+05
 9.25000000000e+01, 1.50000000000e+07, 9.70338689773e+02, 3.09438169668e-04, 3.99046288025e+05
 9.25000000000e+01, 1.60000000000e+07, 9.70780571527e+02, 3.09706255436e-04, 3.99817248472e+05
 9.25000000000e+01, 1.70000000000e+07, 9.71221302958e+02, 3.09974153469e-04, 4.00588352924e+05
 9.25000000000e+01, 1.80000000000e+07, 9.71660891794e+02, 3.10241867844e-04, 4.01359597971e+05
 9.25000000000e+01, 1.90000000000e+07, 9.72099345671e+02, 3.10509402584e-04, 4.02130980254e+05
 9.25000000000e+01, 2.00000000000e+07, 9.72536672143e+02, 3.10776761656e-04, 4.02902496465e+05
 9.25000000000e+01, 2.10000000000e+07, 9.72972878672e+02, 3.11043948978e-04, 4.03674143348e+05
 9.25000000000e+01, 2.20000000000e+07, 9.73407972639e+02, 3.11310968412e-04, 4.04445917694e+05
 9.25000000000e+01, 2.30000000000e+07, 9.73841961339e+02, 3.11577823774e-04, 4.05217816345e+05
 9.25000000000e+01, 2.40000000000e+07, 9.74274851988e+02, 3.11844518825e-04, 4.05989836190e+05
 9.25000000000e+01, 2.50000000000e+07, 9.74706651719e+02, 3.12111057279e-04, 4.06761974165e+05
 9.25000000000e+01, 2.60000000000e+07, 9.75137367586e+02, 3.12377442803e-04, 4.07534227251e+05
 9.30000000000e+01, 6.00000000000e+06, 9.65969151939e+02, 3.05316479875e-04, 3.94212128575e+05
 9.30000000000e+01, 7.00000000000e+06, 9.66422283458e+02, 3.05586413291e-04, 3.94980546916e+05
 9.30000000000e+01, 8.00000000000e+06, 9.66874185771e+02, 3.05856115916e-04, 3.95749148740e+05
 9.30000000000e+01, 9.00000000000e+06, 9.67324867551e+02, 3.06125592374e-04, 3.96517930065e+05
 9.30000000000e+01, 1.00000000000e+07, 9.67774337365e+02, 3.06394847225e-04, 3.97286886968e+05
 9.30000000000e+01, 1.10000000000e+07, 9.68222603677e+02, 3.06663884967e-04, 3.98056015591e+05
