# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min pressure = 101325.0, max pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 4.63157894737e+01, 1.95339868421e+06, 1.46636713666e+00, 9.34604663319e-06, 4.24653391570e+06
 4.63157894737e+01, 2.18490789474e+06, 1.63803403530e+00, 9.34764166185e-06, 4.24768169380e+06
 4.63157894737e+01, 2.41641710526e+06, 1.80925555614e+00, 9.34930526356e-06, 4.24883311537e+06
 4.63157894737e+01, 2.64792631579e+06, 1.98003284204e+00, 9.35103688651e-06, 4.24998822000e+06
 4.63157894737e+01, 2.87943552632e+06, 2.15036702251e+00, 9.35283598242e-06, 4.25114704461e+06
 4.63157894737e+01, 3.11094473684e+06, 2.32025921501e+00, 9.35470200647e-06, 4.25230962349e+06
 4.63157894737e+01, 3.34245394737e+06, 2.48971052615e+00, 9.35663441731e-06, 4.25347598848e+06
 4.63157894737e+01, 3.57396315789e+06, 2.65872205286e+00, 9.35863267699e-06, 4.25464616897e+06
 4.63157894737e+01, 3.80547236842e+06, 2.82729488348e+00, 9.36069625098e-06, 4.25582019205e+06
 4.63157894737e+01, 4.03698157895e+06, 2.99543009874e+00, 9.36282460808e-06, 4.25699808257e+06
 4.63157894737e+01, 4.26849078947e+06, 3.16312877276e+00, 9.36501722046e-06, 4.25817986321e+06
 4.63157894737e+01, 4.50000000000e+06, 3.33039197395e+00, 9.36727356364e-06, 4.25936555457e+06
 4.73684210526e+01, 1.01325000000e+05, 7.66033153599e-02, 9.35709550900e-06, 4.25260549572e+06
 4.73684210526e+01, 3.32834210526e+05, 2.51301769162e-01, 9.35810863505e-06, 4.25373166755e+06
 4.73684210526e+01, 5.64343421053e+05, 4.25547512300e-01, 9.35919452720e-06, 4.25486102666e+06
 4.73684210526e+01, 7.95852631579e+05, 5.99341848136e-01, 9.36035260818e-06, 4.25599363722e+06
 4.73684210526e+01, 1.02736184211e+06, 7.72686053512e-01, 9.36158230461e-06, 4.25712955985e+06
 4.73684210526e+01, 1.25887105263e+06, 9.45581380743e-01, 9.36288304691e-06, 4.25826885181e+06
 4.73684210526e+01, 1.49038026316e+06, 1.11802905950e+00, 9.36425426926e-06, 4.25941156708e+06
 4.73684210526e+01, 1.72188947368e+06, 1.29003029860e+00, 9.36569540957e-06, 4.26055775646e+06
 4.73684210526e+01, 1.95339868421e+06, 1.46158628771e+00, 9.36720590938e-06, 4.26170746771e+06
 4.73684210526e+01, 2.18490789474e+06, 1.63269819891e+00, 9.36878521385e-06, 4.26286074565e+06
 4.73684210526e+01, 2.41641710526e+06, 1.80336718827e+00, 9.37043277169e-06, 4.26401763223e+06
 4.73684210526e+01, 2.64792631579e+06, 1.97359439720e+00, 9.37214803515e-06, 4.26517816667e+06
 4.73684210526e+01, 2.87943552632e+06, 2.14338095389e+00, 9.37393045997e-06, 4.26634238554e+06
 4.73684210526e+01, 3.11094473684e+06, 2.31272797449e+00, 9.37577950533e-06, 4.26751032283e+06
 4.73684210526e+01, 3.34245394737e+06, 2.48163656438e+00, 9.37769463385e-06, 4.26868201010e+06
 4.73684210526e+01, 3.57396315789e+06, 2.65010781929e+00, 9.37967531155e-06, 4.26985747650e+06
 4.73684210526e+01, 3.80547236842e+06, 2.81814282634e+00, 9.38172100780e-06, 4.27103674888e+06
 4.73684210526e+01, 4.03698157895e+06, 2.98574266506e+00, 9.38383119534e-06, 4.27221985191e+06
 4.73684210526e+01, 4.26849078947e+06, 3.15290840831e+00, 9.38600535023e-06, 4.27340680810e+06
 4.73684210526e+01, 4.50000000000e+06, 3.31964112321e+00, 9.38824295183e-06, 4.27459763791e+06
 4.84210526316e+01, 1.01325000000e+05, 7.63526550951e-02, 9.37834735111e-06, 4.26773659744e+06
 4.84210526316e+01, 3.32834210526e+05, 2.50480163514e-01, 9.37934756852e-06, 4.26886848573e+06
 4.84210526316e+01, 5.64343421053e+05, 4.24157417543e-01, 9.38042020246e-06, 4.27000353119e+06
 4.84210526316e+01, 7.95852631579e+05, 5.97385717256e-01, 9.38156467984e-06, 4.27114179729e+06
 4.84210526316e+01, 1.02736184211e+06, 7.70166336540e-01, 9.38278043143e-06, 4.27228334402e+06
 4.84210526316e+01, 1.25887105263e+06, 9.42500525053e-01, 9.38406689180e-06, 4.27342822802e+06
 4.84210526316e+01, 1.49038026316e+06, 1.11438951007e+00, 9.38542349925e-06, 4.27457650271e+06
 4.84210526316e+01, 1.72188947368e+06, 1.28583449825e+00, 9.38684969575e-06, 4.27572821837e+06
 4.84210526316e+01, 1.95339868421e+06, 1.45683667728e+00, 9.38834492693e-06, 4.27688342229e+06
 4.84210526316e+01, 2.18490789474e+06, 1.62739721745e+00, 9.38990864197e-06, 4.27804215884e+06
 4.84210526316e+01, 2.41641710526e+06, 1.79751727315e+00, 9.39154029363e-06, 4.27920446956e+06
 4.84210526316e+01, 2.64792631579e+06, 1.96719798426e+00, 9.39323933814e-06, 4.28037039331e+06
 4.84210526316e+01, 2.87943552632e+06, 2.13644047749e+00, 9.39500523521e-06, 4.28153996631e+06
 4.84210526316e+01, 3.11094473684e+06, 2.30524586761e+00, 9.39683744800e-06, 4.28271322227e+06
 4.84210526316e+01, 3.34245394737e+06, 2.47361525866e+00, 9.39873544304e-06, 4.28389019243e+06
 4.84210526316e+01, 3.57396315789e+06, 2.64154974502e+00, 9.40069869026e-06, 4.28507090573e+06
 4.84210526316e+01, 3.80547236842e+06, 2.80905041251e+00, 9.40272666294e-06, 4.28625538880e+06
 4.84210526316e+01, 4.03698157895e+06, 2.97611833932e+00, 9.40481883768e-06, 4.28744366611e+06
 4.84210526316e+01, 4.26849078947e+06, 3.14275459698e+00, 9.40697469437e-06, 4.28863576001e+06
 4.84210526316e+01, 4.50000000000e+06, 3.30896025119e+00, 9.40919371621e-06, 4.28983169083e+06
 4.94736842105e+01, 1.01325000000e+05, 7.61036303614e-02, 9.39957807131e-06, 4.28287039571e+06
 4.94736842105e+01, 3.32834210526e+05, 2.49663917677e-01, 9.40056548888e-06, 4.28400795705e+06
 4.94736842105e+01, 5.64343421053e+05, 4.22776389270e-01, 9.40162497661e-06, 4.28514864576e+06
 4.94736842105e+01, 7.95852631579e+05, 5.95442341837e-01, 9.40275596555e-06, 4.28629252460e+06
