# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min phase pressure = 101325.0, max phase pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 5.05263157895e+01,   2.41641710526e+06, 5.08852032199e-03, 3.17986615045e-04
 5.05263157895e+01,   2.64792631579e+06, 4.66354097174e-03, 3.48286239179e-04
 5.05263157895e+01,   2.87943552632e+06, 4.30689029779e-03, 3.78531797448e-04
 5.05263157895e+01,   3.11094473684e+06, 4.00331355254e-03, 4.08723554911e-04
 5.05263157895e+01,   3.34245394737e+06, 3.74178235927e-03, 4.38861771843e-04
 5.05263157895e+01,   3.57396315789e+06, 3.51412586244e-03, 4.68946703950e-04
 5.05263157895e+01,   3.80547236842e+06, 3.31416152892e-03, 4.98978602572e-04
 5.05263157895e+01,   4.03698157895e+06, 3.13712502545e-03, 5.28957714874e-04
 5.05263157895e+01,   4.26849078947e+06, 2.97928562572e-03, 5.58884284040e-04
 5.05263157895e+01,   4.50000000000e+06, 2.83768033321e-03, 5.88758549452e-04
 5.15789473684e+01,   1.01325000000e+05, 1.21958635941e-01, 1.18625843799e-05
 5.15789473684e+01,   3.32834210526e+05, 3.72936315942e-02, 4.26843208089e-05
 5.15789473684e+01,   5.64343421053e+05, 2.20924185850e-02, 7.34493364559e-05
 5.15789473684e+01,   7.95852631579e+05, 1.57350768694e-02, 1.04157954996e-04
 5.15789473684e+01,   1.02736184211e+06, 1.22428819499e-02, 1.34810492730e-04
 5.15789473684e+01,   1.25887105263e+06, 1.00351127047e-02, 1.65407258903e-04
 5.15789473684e+01,   1.49038026316e+06, 8.51321747512e-03, 1.95948556010e-04
 5.15789473684e+01,   1.72188947368e+06, 7.40054730479e-03, 2.26434680084e-04
 5.15789473684e+01,   1.95339868421e+06, 6.55160266225e-03, 2.56865920983e-04
 5.15789473684e+01,   2.18490789474e+06, 5.88255156523e-03, 2.87242562655e-04
 5.15789473684e+01,   2.41641710526e+06, 5.34168872576e-03, 3.17564883392e-04
 5.15789473684e+01,   2.64792631579e+06, 4.89539130426e-03, 3.47833156092e-04
 5.15789473684e+01,   2.87943552632e+06, 4.52084968428e-03, 3.78047648478e-04
 5.15789473684e+01,   3.11094473684e+06, 4.20204399907e-03, 4.08208623337e-04
 5.15789473684e+01,   3.34245394737e+06, 3.92739273118e-03, 4.38316338740e-04
 5.15789473684e+01,   3.57396315789e+06, 3.68831520662e-03, 4.68371048242e-04
 5.15789473684e+01,   3.80547236842e+06, 3.47831880038e-03, 4.98373001090e-04
 5.15789473684e+01,   4.03698157895e+06, 3.29240021875e-03, 5.28322442414e-04
 5.15789473684e+01,   4.26849078947e+06, 3.12664161667e-03, 5.58219613410e-04
 5.15789473684e+01,   4.50000000000e+06, 2.97793138529e-03, 5.88064751517e-04
 5.26315789474e+01,   1.01325000000e+05, 1.28022472440e-01, 1.17695660632e-05
 5.26315789474e+01,   3.32834210526e+05, 3.91464261055e-02, 4.25622240078e-05
 5.26315789474e+01,   5.64343421053e+05, 2.31891373894e-02, 7.32984616235e-05
 5.26315789474e+01,   7.95852631579e+05, 1.65155934287e-02, 1.03978599546e-04
 5.26315789474e+01,   1.02736184211e+06, 1.28497019750e-02, 1.34602951141e-04
 5.26315789474e+01,   1.25887105263e+06, 1.05321205411e-02, 1.65171822822e-04
 5.26315789474e+01,   1.49038026316e+06, 8.93452691092e-03, 1.95685514343e-04
 5.26315789474e+01,   1.72188947368e+06, 7.76651225757e-03, 2.26144319091e-04
 5.26315789474e+01,   1.95339868421e+06, 6.87534024381e-03, 2.56548524363e-04
 5.26315789474e+01,   2.18490789474e+06, 6.17300928137e-03, 2.86898411618e-04
 5.26315789474e+01,   2.41641710526e+06, 5.60524238239e-03, 3.17194256751e-04
 5.26315789474e+01,   2.64792631579e+06, 5.13674438630e-03, 3.47436330321e-04
 5.26315789474e+01,   2.87943552632e+06, 4.74357117994e-03, 3.77624897791e-04
 5.26315789474e+01,   3.11094473684e+06, 4.40890610611e-03, 4.07760219748e-04
 5.26315789474e+01,   3.34245394737e+06, 4.12059161000e-03, 4.37842552121e-04
 5.26315789474e+01,   3.57396315789e+06, 3.86962023513e-03, 4.67872146390e-04
 5.26315789474e+01,   3.80547236842e+06, 3.64917642869e-03, 4.97849249777e-04
 5.26315789474e+01,   4.03698157895e+06, 3.45400804500e-03, 5.27774105437e-04
 5.26315789474e+01,   4.26849078947e+06, 3.28000237473e-03, 5.57646952639e-04
 5.26315789474e+01,   4.50000000000e+06, 3.12389304499e-03, 5.87468026950e-04
 5.36842105263e+01,   1.01325000000e+05, 1.34334719782e-01, 1.16753270698e-05
 5.36842105263e+01,   3.32834210526e+05, 4.10750550415e-02, 4.24441026786e-05
 5.36842105263e+01,   5.64343421053e+05, 2.43307051572e-02, 7.31567465216e-05
 5.36842105263e+01,   7.95852631579e+05, 1.73280003247e-02, 1.03813576289e-04
 5.36842105263e+01,   1.02736184211e+06, 1.34812938603e-02, 1.34414902503e-04
 5.36842105263e+01,   1.25887105263e+06, 1.10493998613e-02, 1.64961028831e-04
 5.36842105263e+01,   1.49038026316e+06, 9.37300550168e-03, 1.95452252374e-04
 5.36842105263e+01,   1.72188947368e+06, 8.14737817854e-03, 2.25888863955e-04
 5.36842105263e+01,   1.95339868421e+06, 7.21224817135e-03, 2.56271148382e-04
 5.36842105263e+01,   2.18490789474e+06, 6.47527340730e-03, 2.86599384718e-04
 5.36842105263e+01,   2.41641710526e+06, 5.87949980587e-03, 3.16873846524e-04
 5.36842105263e+01,   2.64792631579e+06, 5.38789135062e-03, 3.47094802099e-04
 5.36842105263e+01,   2.87943552632e+06, 4.97532293788e-03, 3.77262514714e-04
 5.36842105263e+01,   3.11094473684e+06, 4.62414846600e-03, 4.07377242828e-04
