# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 40.0, max temperature = 60.0, #temperature sampling points = 20
# min pressure = 101325.0, max pressure = 4500000.0, #pressure sampling points = 20
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 4.73684210526e+01, 4.50000000000e+06, 9.91114045987e+02, 5.72392624837e-04, 2.02232569497e+05
 4.84210526316e+01, 1.01325000000e+05, 9.88740973225e+02, 5.61325367782e-04, 2.02816714336e+05
 4.84210526316e+01, 3.32834210526e+05, 9.88842020464e+02, 5.61369896478e-04, 2.03017202983e+05
 4.84210526316e+01, 5.64343421053e+05, 9.88943015474e+02, 5.61414461586e-04, 2.03217672501e+05
 4.84210526316e+01, 7.95852631579e+05, 9.89043958317e+02, 5.61459063157e-04, 2.03418122888e+05
 4.84210526316e+01, 1.02736184211e+06, 9.89144849055e+02, 5.61503701242e-04, 2.03618554142e+05
 4.84210526316e+01, 1.25887105263e+06, 9.89245687749e+02, 5.61548375890e-04, 2.03818966264e+05
 4.84210526316e+01, 1.49038026316e+06, 9.89346474461e+02, 5.61593087153e-04, 2.04019359253e+05
 4.84210526316e+01, 1.72188947368e+06, 9.89447209252e+02, 5.61637835081e-04, 2.04219733107e+05
 4.84210526316e+01, 1.95339868421e+06, 9.89547892184e+02, 5.61682619723e-04, 2.04420087826e+05
 4.84210526316e+01, 2.18490789474e+06, 9.89648523316e+02, 5.61727441129e-04, 2.04620423409e+05
 4.84210526316e+01, 2.41641710526e+06, 9.89749102710e+02, 5.61772299349e-04, 2.04820739856e+05
 4.84210526316e+01, 2.64792631579e+06, 9.89849630427e+02, 5.61817194432e-04, 2.05021037165e+05
 4.84210526316e+01, 2.87943552632e+06, 9.89950106528e+02, 5.61862126426e-04, 2.05221315338e+05
 4.84210526316e+01, 3.11094473684e+06, 9.90050531072e+02, 5.61907095382e-04, 2.05421574372e+05
 4.84210526316e+01, 3.34245394737e+06, 9.90150904120e+02, 5.61952101346e-04, 2.05621814269e+05
 4.84210526316e+01, 3.57396315789e+06, 9.90251225732e+02, 5.61997144368e-04, 2.05822035026e+05
 4.84210526316e+01, 3.80547236842e+06, 9.90351495968e+02, 5.62042224496e-04, 2.06022236645e+05
 4.84210526316e+01, 4.03698157895e+06, 9.90451714888e+02, 5.62087341777e-04, 2.06222419124e+05
 4.84210526316e+01, 4.26849078947e+06, 9.90551882552e+02, 5.62132496259e-04, 2.06422582464e+05
 4.84210526316e+01, 4.50000000000e+06, 9.90651999019e+02, 5.62177687991e-04, 2.06622726664e+05
 4.94736842105e+01, 1.01325000000e+05, 9.88272187176e+02, 5.51380530242e-04, 2.07217824304e+05
 4.94736842105e+01, 3.32834210526e+05, 9.88373210293e+02, 5.51426461902e-04, 2.07417747674e+05
 4.94736842105e+01, 5.64343421053e+05, 9.88474180989e+02, 5.51472427111e-04, 2.07617652698e+05
 4.94736842105e+01, 7.95852631579e+05, 9.88575099328e+02, 5.51518425920e-04, 2.07817539373e+05
 4.94736842105e+01, 1.02736184211e+06, 9.88675965373e+02, 5.51564458382e-04, 2.08017407696e+05
 4.94736842105e+01, 1.25887105263e+06, 9.88776779185e+02, 5.51610524546e-04, 2.08217257666e+05
 4.94736842105e+01, 1.49038026316e+06, 9.88877540827e+02, 5.51656624466e-04, 2.08417089281e+05
 4.94736842105e+01, 1.72188947368e+06, 9.88978250361e+02, 5.51702758190e-04, 2.08616902538e+05
 4.94736842105e+01, 1.95339868421e+06, 9.89078907849e+02, 5.51748925770e-04, 2.08816697437e+05
 4.94736842105e+01, 2.18490789474e+06, 9.89179513352e+02, 5.51795127257e-04, 2.09016473974e+05
 4.94736842105e+01, 2.41641710526e+06, 9.89280066933e+02, 5.51841362700e-04, 2.09216232149e+05
 4.94736842105e+01, 2.64792631579e+06, 9.89380568654e+02, 5.51887632149e-04, 2.09415971960e+05
 4.94736842105e+01, 2.87943552632e+06, 9.89481018574e+02, 5.51933935654e-04, 2.09615693404e+05
 4.94736842105e+01, 3.11094473684e+06, 9.89581416757e+02, 5.51980273265e-04, 2.09815396481e+05
 4.94736842105e+01, 3.34245394737e+06, 9.89681763262e+02, 5.52026645031e-04, 2.10015081190e+05
 4.94736842105e+01, 3.57396315789e+06, 9.89782058150e+02, 5.52073051001e-04, 2.10214747527e+05
 4.94736842105e+01, 3.80547236842e+06, 9.89882301484e+02, 5.52119491224e-04, 2.10414395492e+05
 4.94736842105e+01, 4.03698157895e+06, 9.89982493322e+02, 5.52165965748e-04, 2.10614025084e+05
 4.94736842105e+01, 4.26849078947e+06, 9.90082633726e+02, 5.52212474622e-04, 2.10813636301e+05
 4.94736842105e+01, 4.50000000000e+06, 9.90182722757e+02, 5.52259017895e-04, 2.11013229142e+05
 5.05263157895e+01, 1.01325000000e+05, 9.87796088274e+02, 5.41722225369e-04, 2.11619238055e+05
 5.05263157895e+01, 3.32834210526e+05, 9.87897096399e+02, 5.41769466789e-04, 2.11818599263e+05
 5.05263157895e+01, 5.64343421053e+05, 9.87998051902e+02, 5.41816739054e-04, 2.12017942899e+05
 5.05263157895e+01, 7.95852631579e+05, 9.88098954847e+02, 5.41864042219e-04, 2.12217268960e+05
 5.05263157895e+01, 1.02736184211e+06, 9.88199805297e+02, 5.41911376335e-04, 2.12416577440e+05
 5.05263157895e+01, 1.25887105263e+06, 9.88300603316e+02, 5.41958741453e-04, 2.12615868338e+05
 5.05263157895e+01, 1.49038026316e+06, 9.88401348966e+02, 5.42006137627e-04, 2.12815141651e+05
 5.05263157895e+01, 1.72188947368e+06, 9.88502042311e+02, 5.42053564907e-04, 2.13014397375e+05
 5.05263157895e+01, 1.95339868421e+06, 9.88602683414e+02, 5.42101023344e-04, 2.13213635508e+05
 5.05263157895e+01, 2.18490789474e+06, 9.88703272337e+02, 5.42148512989e-04, 2.13412856046e+05
 5.05263157895e+01, 2.41641710526e+06, 9.88803809142e+02, 5.42196033894e-04, 2.13612058986e+05
 5.05263157895e+01, 2.64792631579e+06, 9.88904293892e+02, 5.42243586109e-04, 2.13811244326e+05
 5.05263157895e+01, 2.87943552632e+06, 9.89004726650e+02, 5.42291169684e-04, 2.14010412063e+05
 5.05263157895e+01, 3.11094473684e+06, 9.89105107477e+02, 5.42338784669e-04, 2.14209562195e+05
 5.05263157895e+01, 3.34245394737e+06, 9.89205436435e+02, 5.42386431115e-04, 2.14408694718e+05
 5.05263157895e+01, 3.57396315789e+06, 9.89305713586e+02, 5.42434109072e-04, 2.14607809629e+05
 5.05263157895e+01, 3.80547236842e+06, 9.89405938992e+02, 5.42481818588e-04, 2.14806906927e+05
 5.05263157895e+01, 4.03698157895e+06, 9.89506112715e+02, 5.42529559713e-04, 2.15005986609e+05
