# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min phase pressure = 6000000.0, max phase pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 7.10000000000e+01,   1.70000000000e+07, 2.12585557304e-03, 2.15210967379e-03
 7.10000000000e+01,   1.80000000000e+07, 2.03173402038e-03, 2.27167634293e-03
 7.10000000000e+01,   1.90000000000e+07, 1.94736763792e-03, 2.39051770921e-03
 7.10000000000e+01,   2.00000000000e+07, 1.87129019756e-03, 2.50864561620e-03
 7.80000000000e+01,   6.00000000000e+06, 6.79453039240e-03, 7.96338315072e-04
 7.80000000000e+01,   7.00000000000e+06, 5.90521898617e-03, 9.26758946849e-04
 7.80000000000e+01,   8.00000000000e+06, 5.23786521684e-03, 1.05632133791e-03
 7.80000000000e+01,   9.00000000000e+06, 4.71847494604e-03, 1.18503957673e-03
 7.80000000000e+01,   1.00000000000e+07, 4.30265158058e-03, 1.31292726606e-03
 7.80000000000e+01,   1.10000000000e+07, 3.96214269972e-03, 1.43999760695e-03
 7.80000000000e+01,   1.20000000000e+07, 3.67811336066e-03, 1.56626346830e-03
 7.80000000000e+01,   1.30000000000e+07, 3.43752402558e-03, 1.69173744394e-03
 7.80000000000e+01,   1.40000000000e+07, 3.23106080042e-03, 1.81643189940e-03
 7.80000000000e+01,   1.50000000000e+07, 3.05189357368e-03, 1.94035900981e-03
 7.80000000000e+01,   1.60000000000e+07, 2.89489984976e-03, 2.06353079051e-03
 7.80000000000e+01,   1.70000000000e+07, 2.75616252057e-03, 2.18595912137e-03
 7.80000000000e+01,   1.80000000000e+07, 2.63263504422e-03, 2.30765576621e-03
 7.80000000000e+01,   1.90000000000e+07, 2.52191235480e-03, 2.42863238792e-03
 7.80000000000e+01,   2.00000000000e+07, 2.42207049795e-03, 2.54890055988e-03
 8.50000000000e+01,   6.00000000000e+06, 8.75243641594e-03, 8.11382507363e-04
 8.50000000000e+01,   7.00000000000e+06, 7.60165223817e-03, 9.44597366392e-04
 8.50000000000e+01,   8.00000000000e+06, 6.73807028991e-03, 1.07695747809e-03
 8.50000000000e+01,   9.00000000000e+06, 6.06594781522e-03, 1.20847667918e-03
 8.50000000000e+01,   1.00000000000e+07, 5.52783900500e-03, 1.33916833723e-03
 8.50000000000e+01,   1.10000000000e+07, 5.08718736022e-03, 1.46904543026e-03
 8.50000000000e+01,   1.20000000000e+07, 4.71962186427e-03, 1.59812061283e-03
 8.50000000000e+01,   1.30000000000e+07, 4.40827029883e-03, 1.72640627064e-03
 8.50000000000e+01,   1.40000000000e+07, 4.14108113265e-03, 1.85391456541e-03
 8.50000000000e+01,   1.50000000000e+07, 3.90921664978e-03, 1.98065747153e-03
 8.50000000000e+01,   1.60000000000e+07, 3.70604865064e-03, 2.10664680576e-03
 8.50000000000e+01,   1.70000000000e+07, 3.52650860826e-03, 2.23189425112e-03
 8.50000000000e+01,   1.80000000000e+07, 3.36665443643e-03, 2.35641137596e-03
 8.50000000000e+01,   1.90000000000e+07, 3.22337406555e-03, 2.48020964906e-03
 8.50000000000e+01,   2.00000000000e+07, 3.09417794414e-03, 2.60330045122e-03
 9.20000000000e+01,   6.00000000000e+06, 1.11321950825e-02, 8.30338599107e-04
 9.20000000000e+01,   7.00000000000e+06, 9.66231339400e-03, 9.67058129054e-04
 9.20000000000e+01,   8.00000000000e+06, 8.55925909784e-03, 1.10292193393e-03
 9.20000000000e+01,   9.00000000000e+06, 7.70074750525e-03, 1.23794368030e-03
 9.20000000000e+01,   1.00000000000e+07, 7.01340759088e-03, 1.37213657911e-03
 9.20000000000e+01,   1.10000000000e+07, 6.45054858616e-03, 1.50551346146e-03
 9.20000000000e+01,   1.20000000000e+07, 5.98104326534e-03, 1.63808684182e-03
 9.20000000000e+01,   1.30000000000e+07, 5.58334201399e-03, 1.76986897049e-03
 9.20000000000e+01,   1.40000000000e+07, 5.24205228983e-03, 1.90087187692e-03
 9.20000000000e+01,   1.50000000000e+07, 4.94588629348e-03, 2.03110740525e-03
 9.20000000000e+01,   1.60000000000e+07, 4.68637825814e-03, 2.16058724333e-03
 9.20000000000e+01,   1.70000000000e+07, 4.45705445673e-03, 2.28932294622e-03
 9.20000000000e+01,   1.80000000000e+07, 4.25287987020e-03, 2.41732595506e-03
 9.20000000000e+01,   1.90000000000e+07, 4.06987958975e-03, 2.54460761205e-03
 9.20000000000e+01,   2.00000000000e+07, 3.90487379611e-03, 2.67117917230e-03
 9.90000000000e+01,   6.00000000000e+06, 1.39934919158e-02, 8.52931988434e-04
 9.90000000000e+01,   7.00000000000e+06, 1.21384979356e-02, 9.93840183790e-04
 9.90000000000e+01,   8.00000000000e+06, 1.07464321876e-02, 1.13388769535e-03
 9.90000000000e+01,   9.00000000000e+06, 9.66297640967e-03, 1.27308808987e-03
 9.90000000000e+01,   1.00000000000e+07, 8.79553936363e-03, 1.41145448945e-03
 9.90000000000e+01,   1.10000000000e+07, 8.08519918510e-03, 1.54899964401e-03
 9.90000000000e+01,   1.20000000000e+07, 7.49267454632e-03, 1.68573599210e-03
 9.90000000000e+01,   1.30000000000e+07, 6.99077065736e-03, 1.82167571150e-03
 9.90000000000e+01,   1.40000000000e+07, 6.56006268752e-03, 1.95683076123e-03
 9.90000000000e+01,   1.50000000000e+07, 6.18630581184e-03, 2.09121291618e-03
 9.90000000000e+01,   1.60000000000e+07, 5.85881648488e-03, 2.22483379556e-03
 9.90000000000e+01,   1.70000000000e+07, 5.56942502543e-03, 2.35770488609e-03
 9.90000000000e+01,   1.80000000000e+07, 5.31177733616e-03, 2.48983756067e-03
 9.90000000000e+01,   1.90000000000e+07, 5.08085712981e-03, 2.62124309346e-03
 9.90000000000e+01,   2.00000000000e+07, 4.87265148539e-03, 2.75193267180e-03
