# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 3.60000000000e+01, 1.90000000000e+07, 1.33828975232e+01, 9.42516428598e-06, 4.18965861996e+06
 3.60000000000e+01, 2.00000000000e+07, 1.40093567054e+01, 9.44997861431e-06, 4.19570017264e+06
 4.30000000000e+01, 6.00000000000e+06, 4.44876437871e+00, 9.31763630654e-06, 4.21907246845e+06
 4.30000000000e+01, 7.00000000000e+06, 5.16128707361e+00, 9.33008744129e-06, 4.22428493456e+06
 4.30000000000e+01, 8.00000000000e+06, 5.86577160773e+00, 9.34363125105e-06, 4.22957462822e+06
 4.30000000000e+01, 9.00000000000e+06, 6.56230387751e+00, 9.35822831225e-06, 4.23494136671e+06
 4.30000000000e+01, 1.00000000000e+07, 7.25097090030e+00, 9.37384032900e-06, 4.24038458799e+06
 4.30000000000e+01, 1.10000000000e+07, 7.93186107351e+00, 9.39043012533e-06, 4.24590341723e+06
 4.30000000000e+01, 1.20000000000e+07, 8.60506430335e+00, 9.40796163708e-06, 4.25149672455e+06
 4.30000000000e+01, 1.30000000000e+07, 9.27067203316e+00, 9.42639990255e-06, 4.25716317494e+06
 4.30000000000e+01, 1.40000000000e+07, 9.92877719553e+00, 9.44571105157e-06, 4.26290127118e+06
 4.30000000000e+01, 1.50000000000e+07, 1.05794741085e+01, 9.46586229264e-06, 4.26870939077e+06
 4.30000000000e+01, 1.60000000000e+07, 1.12228583318e+01, 9.48682189807e-06, 4.27458581741e+06
 4.30000000000e+01, 1.70000000000e+07, 1.18590264969e+01, 9.50855918726e-06, 4.28052876784e+06
 4.30000000000e+01, 1.80000000000e+07, 1.24880761199e+01, 9.53104450806e-06, 4.28653641448e+06
 4.30000000000e+01, 1.90000000000e+07, 1.31101054073e+01, 9.55424921653e-06, 4.29260690456e+06
 4.30000000000e+01, 2.00000000000e+07, 1.37252130599e+01, 9.57814565526e-06, 4.29873837604e+06
 5.00000000000e+01, 6.00000000000e+06, 4.35459696670e+00, 9.45626988548e-06, 4.32057693384e+06
 5.00000000000e+01, 7.00000000000e+06, 5.05248908347e+00, 9.46811137928e-06, 4.32592751766e+06
 5.00000000000e+01, 8.00000000000e+06, 5.74264443652e+00, 9.48101565338e-06, 4.33135069634e+06
 5.00000000000e+01, 9.00000000000e+06, 6.42514733865e+00, 9.49494517960e-06, 4.33684634825e+06
 5.00000000000e+01, 1.00000000000e+07, 7.10008285241e+00, 9.50986349725e-06, 4.34241399716e+06
 5.00000000000e+01, 1.10000000000e+07, 7.76753704218e+00, 9.52573520344e-06, 4.34805287311e+06
 5.00000000000e+01, 1.20000000000e+07, 8.42759711026e+00, 9.54252594322e-06, 4.35376196539e+06
 5.00000000000e+01, 1.30000000000e+07, 9.08035144258e+00, 9.56020239915e-06, 4.35954006836e+06
 5.00000000000e+01, 1.40000000000e+07, 9.72588958545e+00, 9.57873227955e-06, 4.36538582109e+06
 5.00000000000e+01, 1.50000000000e+07, 1.03643021709e+01, 9.59808430539e-06, 4.37129774151e+06
 5.00000000000e+01, 1.60000000000e+07, 1.09956808048e+01, 9.61822819560e-06, 4.37727425562e+06
 5.00000000000e+01, 1.70000000000e+07, 1.16201179299e+01, 9.63913465077e-06, 4.38331372250e+06
 5.00000000000e+01, 1.80000000000e+07, 1.22377066715e+01, 9.66077533548e-06, 4.38941445552e+06
 5.00000000000e+01, 1.90000000000e+07, 1.28485406758e+01, 9.68312285915e-06, 4.39557474030e+06
 5.00000000000e+01, 2.00000000000e+07, 1.34527139438e+01, 9.70615075577e-06, 4.40179284976e+06
 5.70000000000e+01, 6.00000000000e+06, 4.26438747032e+00, 9.59413561494e-06, 4.42215413598e+06
 5.70000000000e+01, 7.00000000000e+06, 4.94825362994e+00, 9.60540138208e-06, 4.42763651662e+06
 5.70000000000e+01, 8.00000000000e+06, 5.62466796076e+00, 9.61770165339e-06, 4.43318716737e+06
 5.70000000000e+01, 9.00000000000e+06, 6.29371303664e+00, 9.63100065954e-06, 4.43880602069e+06
 5.70000000000e+01, 1.00000000000e+07, 6.95547187293e+00, 9.64526364275e-06, 4.44449267716e+06
 5.70000000000e+01, 1.10000000000e+07, 7.61002817031e+00, 9.66045684554e-06, 4.45024646131e+06
 5.70000000000e+01, 1.20000000000e+07, 8.25746645490e+00, 9.67654749962e-06, 4.45606647020e+06
 5.70000000000e+01, 1.30000000000e+07, 8.89787213725e+00, 9.69350381454e-06, 4.46195161568e+06
 5.70000000000e+01, 1.40000000000e+07, 9.53133150864e+00, 9.71129496546e-06, 4.46790066095e+06
 5.70000000000e+01, 1.50000000000e+07, 1.01579316904e+01, 9.72989107981e-06, 4.47391225216e+06
 5.70000000000e+01, 1.60000000000e+07, 1.07777605483e+01, 9.74926322283e-06, 4.47998494561e+06
 5.70000000000e+01, 1.70000000000e+07, 1.13909065832e+01, 9.76938338178e-06, 4.48611723101e+06
 5.70000000000e+01, 1.80000000000e+07, 1.19974588051e+01, 9.79022444902e-06, 4.49230755140e+06
 5.70000000000e+01, 1.90000000000e+07, 1.25975065979e+01, 9.81176020395e-06, 4.49855432000e+06
 5.70000000000e+01, 2.00000000000e+07, 1.31911395800e+01, 9.83396529396e-06, 4.50485593444e+06
 6.40000000000e+01, 6.00000000000e+06, 4.17788811915e+00, 9.73125137743e-06, 4.52379381128e+06
 6.40000000000e+01, 7.00000000000e+06, 4.84829526289e+00, 9.74197279248e-06, 4.52940205145e+06
 6.40000000000e+01, 8.00000000000e+06, 5.51152024689e+00, 9.75370193108e-06, 4.53507451980e+06
 6.40000000000e+01, 9.00000000000e+06, 6.16764379107e+00, 9.76640465915e-06, 4.54081119666e+06
 6.40000000000e+01, 1.00000000000e+07, 6.81674680145e+00, 9.78004780209e-06, 4.54661175144e+06
 6.40000000000e+01, 1.10000000000e+07, 7.45891060475e+00, 9.79459913226e-06, 4.55247559384e+06
