# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 1.0, max temperature = 99.0, #temperature sampling points = 15
# min pressure = 6000000.0, max pressure = 20000000.0, #pressure sampling points = 15
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 6.40000000000e+01, 1.20000000000e+07, 9.86240043607e+02, 4.42194052948e-04, 2.77868146336e+05
 6.40000000000e+01, 1.30000000000e+07, 9.86666312618e+02, 4.42446071478e-04, 2.78697097757e+05
 6.40000000000e+01, 1.40000000000e+07, 9.87091608106e+02, 4.42698268623e-04, 2.79525880027e+05
 6.40000000000e+01, 1.50000000000e+07, 9.87515935434e+02, 4.42950648165e-04, 2.80354492074e+05
 6.40000000000e+01, 1.60000000000e+07, 9.87939299913e+02, 4.43203213831e-04, 2.81182932853e+05
 6.40000000000e+01, 1.70000000000e+07, 9.88361706799e+02, 4.43455969294e-04, 2.82011201343e+05
 6.40000000000e+01, 1.80000000000e+07, 9.88783161299e+02, 4.43708918172e-04, 2.82839296546e+05
 6.40000000000e+01, 1.90000000000e+07, 9.89203668568e+02, 4.43962064029e-04, 2.83667217490e+05
 6.40000000000e+01, 2.00000000000e+07, 9.89623233710e+02, 4.44215410378e-04, 2.84494963222e+05
 7.10000000000e+01, 6.00000000000e+06, 9.79780483774e+02, 3.99621662450e-04, 3.02122734461e+05
 7.10000000000e+01, 7.00000000000e+06, 9.80215811985e+02, 3.99883078374e-04, 3.02937885577e+05
 7.10000000000e+01, 8.00000000000e+06, 9.80650092018e+02, 4.00144510001e-04, 3.03752957047e+05
 7.10000000000e+01, 9.00000000000e+06, 9.81083330152e+02, 4.00405961588e-04, 3.04567947053e+05
 7.10000000000e+01, 1.00000000000e+07, 9.81515532600e+02, 4.00667437334e-04, 3.05382853812e+05
 7.10000000000e+01, 1.10000000000e+07, 9.81946705508e+02, 4.00928941376e-04, 3.06197675576e+05
 7.10000000000e+01, 1.20000000000e+07, 9.82376854957e+02, 4.01190477795e-04, 3.07012410627e+05
 7.10000000000e+01, 1.30000000000e+07, 9.82805986964e+02, 4.01452050612e-04, 3.07827057281e+05
 7.10000000000e+01, 1.40000000000e+07, 9.83234107481e+02, 4.01713663795e-04, 3.08641613886e+05
 7.10000000000e+01, 1.50000000000e+07, 9.83661222401e+02, 4.01975321254e-04, 3.09456078819e+05
 7.10000000000e+01, 1.60000000000e+07, 9.84087337553e+02, 4.02237026843e-04, 3.10270450490e+05
 7.10000000000e+01, 1.70000000000e+07, 9.84512458708e+02, 4.02498784366e-04, 3.11084727338e+05
 7.10000000000e+01, 1.80000000000e+07, 9.84936591578e+02, 4.02760597571e-04, 3.11898907832e+05
 7.10000000000e+01, 1.90000000000e+07, 9.85359741815e+02, 4.03022470155e-04, 3.12712990468e+05
 7.10000000000e+01, 2.00000000000e+07, 9.85781915015e+02, 4.03284405764e-04, 3.13526973775e+05
