# This autogenerated file contains solubilities of H2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min phase pressure = 6000000.0, max phase pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C], phase pressure [Pa],         y_H2O [-],         x_H2 [-]
 9.35000000000e+01,   1.50000000000e+07, 4.69195543430e-03, 9.96144209941e-04
 9.35000000000e+01,   1.60000000000e+07, 4.44558065458e-03, 1.06102533578e-03
 9.35000000000e+01,   1.70000000000e+07, 4.22786658185e-03, 1.12570925009e-03
 9.35000000000e+01,   1.80000000000e+07, 4.03403240100e-03, 1.19020044604e-03
 9.35000000000e+01,   1.90000000000e+07, 3.86030388114e-03, 1.25450339430e-03
 9.35000000000e+01,   2.00000000000e+07, 3.70366173613e-03, 1.31862254866e-03
 9.35000000000e+01,   2.10000000000e+07, 3.56166188056e-03, 1.38256235030e-03
 9.35000000000e+01,   2.20000000000e+07, 3.43230470554e-03, 1.44632723113e-03
 9.35000000000e+01,   2.30000000000e+07, 3.31393845539e-03, 1.50992161629e-03
 9.35000000000e+01,   2.40000000000e+07, 3.20518675928e-03, 1.57334992588e-03
 9.35000000000e+01,   2.50000000000e+07, 3.10489355464e-03, 1.63661657629e-03
 9.35000000000e+01,   2.60000000000e+07, 3.01208071990e-03, 1.69972598102e-03
 9.40000000000e+01,   6.00000000000e+06, 1.07418810737e-02, 4.03545856977e-04
 9.40000000000e+01,   7.00000000000e+06, 9.32255688314e-03, 4.70587652891e-04
 9.40000000000e+01,   8.00000000000e+06, 8.25744933744e-03, 5.37388690210e-04
 9.40000000000e+01,   9.00000000000e+06, 7.42847796095e-03, 6.03954289071e-04
 9.40000000000e+01,   1.00000000000e+07, 6.76479426075e-03, 6.70289581174e-04
 9.40000000000e+01,   1.10000000000e+07, 6.22131271579e-03, 7.36399544764e-04
 9.40000000000e+01,   1.20000000000e+07, 5.76797626148e-03, 8.02289033874e-04
 9.40000000000e+01,   1.30000000000e+07, 5.38397615810e-03, 8.67962802671e-04
 9.40000000000e+01,   1.40000000000e+07, 5.05444905186e-03, 9.33425525615e-04
 9.40000000000e+01,   1.50000000000e+07, 4.76849520629e-03, 9.98681814063e-04
 9.40000000000e+01,   1.60000000000e+07, 4.51793989258e-03, 1.06373622984e-03
 9.40000000000e+01,   1.70000000000e+07, 4.29653193264e-03, 1.12859329628e-03
 9.40000000000e+01,   1.80000000000e+07, 4.09940939160e-03, 1.19325750710e-03
 9.40000000000e+01,   1.90000000000e+07, 3.92273399672e-03, 1.25773333346e-03
 9.40000000000e+01,   2.00000000000e+07, 3.76343522838e-03, 1.32202522962e-03
 9.40000000000e+01,   2.10000000000e+07, 3.61902752677e-03, 1.38613763717e-03
 9.40000000000e+01,   2.20000000000e+07, 3.48747734963e-03, 1.45007498842e-03
 9.40000000000e+01,   2.30000000000e+07, 3.36710490962e-03, 1.51384170890e-03
 9.40000000000e+01,   2.40000000000e+07, 3.25651047659e-03, 1.57744221910e-03
 9.40000000000e+01,   2.50000000000e+07, 3.15451836645e-03, 1.64088093578e-03
 9.40000000000e+01,   2.60000000000e+07, 3.06013385516e-03, 1.70416227287e-03
 9.45000000000e+01,   6.00000000000e+06, 1.09203974324e-02, 4.04530376377e-04
 9.45000000000e+01,   7.00000000000e+06, 9.47707486849e-03, 4.71749078022e-04
 9.45000000000e+01,   8.00000000000e+06, 8.39395757726e-03, 5.38726870380e-04
 9.45000000000e+01,   9.00000000000e+06, 7.55096886969e-03, 6.05469074006e-04
 9.45000000000e+01,   1.00000000000e+07, 6.87606252058e-03, 6.71980821259e-04
 9.45000000000e+01,   1.10000000000e+07, 6.32339081244e-03, 7.38267091181e-04
 9.45000000000e+01,   1.20000000000e+07, 5.86238854744e-03, 8.04332738676e-04
 9.45000000000e+01,   1.30000000000e+07, 5.47189519956e-03, 8.70182518805e-04
 9.45000000000e+01,   1.40000000000e+07, 5.13679613792e-03, 9.35821106910e-04
 9.45000000000e+01,   1.50000000000e+07, 4.84600735538e-03, 1.00125311519e-03
 9.45000000000e+01,   1.60000000000e+07, 4.59121591957e-03, 1.06648310627e-03
 9.45000000000e+01,   1.70000000000e+07, 4.36606496703e-03, 1.13151560424e-03
 9.45000000000e+01,   1.80000000000e+07, 4.16561036308e-03, 1.19635510348e-03
 9.45000000000e+01,   1.90000000000e+07, 3.98594894031e-03, 1.26100607583e-03
 9.45000000000e+01,   2.00000000000e+07, 3.82395826356e-03, 1.32547297613e-03
 9.45000000000e+01,   2.10000000000e+07, 3.67711074636e-03, 1.38976024652e-03
 9.45000000000e+01,   2.20000000000e+07, 3.54333846117e-03, 1.45387231989e-03
 9.45000000000e+01,   2.30000000000e+07, 3.42093321575e-03, 1.51781362228e-03
 9.45000000000e+01,   2.40000000000e+07, 3.30847160956e-03, 1.58158857470e-03
 9.45000000000e+01,   2.50000000000e+07, 3.20475807561e-03, 1.64520159448e-03
 9.45000000000e+01,   2.60000000000e+07, 3.10878106633e-03, 1.70865709606e-03
 9.50000000000e+01,   6.00000000000e+06, 1.11012337408e-02, 4.05527710191e-04
 9.50000000000e+01,   7.00000000000e+06, 9.63359457853e-03, 4.72925664219e-04
 9.50000000000e+01,   8.00000000000e+06, 8.53222874128e-03, 5.40082550925e-04
 9.50000000000e+01,   9.00000000000e+06, 7.67503685300e-03, 6.07003691456e-04
 9.50000000000e+01,   1.00000000000e+07, 6.98875907199e-03, 6.73694218990e-04
 9.50000000000e+01,   1.10000000000e+07, 6.42677537611e-03, 7.40159113528e-04
 9.50000000000e+01,   1.20000000000e+07, 5.95800569538e-03, 8.06403231002e-04
 9.50000000000e+01,   1.30000000000e+07, 5.56093305215e-03, 8.72431327519e-04
 9.50000000000e+01,   1.40000000000e+07, 5.22018820601e-03, 9.38248079450e-04
 9.50000000000e+01,   1.50000000000e+07, 4.92450043527e-03, 1.00385809999e-03
 9.50000000000e+01,   1.60000000000e+07, 4.66541677116e-03, 1.06926595272e-03
 9.50000000000e+01,   1.70000000000e+07, 4.43647326322e-03, 1.13447616259e-03
 9.50000000000e+01,   1.80000000000e+07, 4.23264248667e-03, 1.19949322487e-03
 9.50000000000e+01,   1.90000000000e+07, 4.04995551884e-03, 1.26432161216e-03
 9.50000000000e+01,   2.00000000000e+07, 3.88523732052e-03, 1.32896578001e-03
 9.50000000000e+01,   2.10000000000e+07, 3.73591772101e-03, 1.39343017134e-03
 9.50000000000e+01,   2.20000000000e+07, 3.59989395149e-03, 1.45771921968e-03
 9.50000000000e+01,   2.30000000000e+07, 3.47542903812e-03, 1.52183735173e-03
 9.50000000000e+01,   2.40000000000e+07, 3.36107559583e-03, 1.58578898922e-03
