# This autogenerated file contains thermodynamical properties of H2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 90.0, max temperature = 100.0, #temperature sampling points = 21
# min pressure = 6000000.0, max pressure = 26000000.0, #pressure sampling points = 21
#
# temperature [°C],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
 9.25000000000e+01, 1.40000000000e+07, 8.65568949178e+00, 1.03763850223e-05, 4.98801004679e+06
 9.25000000000e+01, 1.50000000000e+07, 9.22872579321e+00, 1.03917088391e-05, 4.99447071774e+06
 9.25000000000e+01, 1.60000000000e+07, 9.79611643659e+00, 1.04077374480e-05, 5.00097765848e+06
 9.25000000000e+01, 1.70000000000e+07, 1.03579330830e+01, 1.04244481819e-05, 5.00752987630e+06
 9.25000000000e+01, 1.80000000000e+07, 1.09142473351e+01, 1.04418190471e-05, 5.01412633117e+06
 9.25000000000e+01, 1.90000000000e+07, 1.14651306895e+01, 1.04598287098e-05, 5.02076594817e+06
 9.25000000000e+01, 2.00000000000e+07, 1.20106544822e+01, 1.04784564811e-05, 5.02744762813e+06
 9.25000000000e+01, 2.10000000000e+07, 1.25508898308e+01, 1.04976823033e-05, 5.03417025688e+06
 9.25000000000e+01, 2.20000000000e+07, 1.30859075752e+01, 1.05174867346e-05, 5.04093271303e+06
 9.25000000000e+01, 2.30000000000e+07, 1.36157782175e+01, 1.05378509343e-05, 5.04773387466e+06
 9.25000000000e+01, 2.40000000000e+07, 1.41405718639e+01, 1.05587566478e-05, 5.05457262492e+06
 9.25000000000e+01, 2.50000000000e+07, 1.46603581680e+01, 1.05801861914e-05, 5.06144785674e+06
 9.25000000000e+01, 2.60000000000e+07, 1.51752062776e+01, 1.06021224370e-05, 5.06835847677e+06
 9.30000000000e+01, 6.00000000000e+06, 3.85440316910e+00, 1.02916824811e-05, 4.94535337826e+06
 9.30000000000e+01, 7.00000000000e+06, 4.47438380597e+00, 1.03004362646e-05, 4.95142704554e+06
 9.30000000000e+01, 8.00000000000e+06, 5.08815895894e+00, 1.03101005080e-05, 4.95755075041e+06
 9.30000000000e+01, 9.00000000000e+06, 5.69580106844e+00, 1.03206467634e-05, 4.96372461924e+06
 9.30000000000e+01, 1.00000000000e+07, 6.29738210410e+00, 1.03320473605e-05, 4.96994853851e+06
 9.30000000000e+01, 1.10000000000e+07, 6.89297375776e+00, 1.03442753925e-05, 4.97622219121e+06
 9.30000000000e+01, 1.20000000000e+07, 7.48264757709e+00, 1.03573047021e-05, 4.98254508887e+06
 9.30000000000e+01, 1.30000000000e+07, 8.06647505111e+00, 1.03711098689e-05, 4.98891659974e+06
 9.30000000000e+01, 1.40000000000e+07, 8.64452765735e+00, 1.03856661960e-05, 4.99533597351e+06
 9.30000000000e+01, 1.50000000000e+07, 9.21687687876e+00, 1.04009496975e-05, 5.00180236295e+06
 9.30000000000e+01, 1.60000000000e+07, 9.78359419703e+00, 1.04169370851e-05, 5.00831484279e+06
 9.30000000000e+01, 1.70000000000e+07, 1.03447510681e+01, 1.04336057554e-05, 5.01487242618e+06
 9.30000000000e+01, 1.80000000000e+07, 1.09004188843e+01, 1.04509337756e-05, 5.02147407898e+06
 9.30000000000e+01, 1.90000000000e+07, 1.14506689274e+01, 1.04688998702e-05, 5.02811873213e+06
 9.30000000000e+01, 2.00000000000e+07, 1.19955723152e+01, 1.04874834062e-05, 5.03480529227e+06
 9.30000000000e+01, 2.10000000000e+07, 1.25351999442e+01, 1.05066643792e-05, 5.04153265090e+06
 9.30000000000e+01, 2.20000000000e+07, 1.30696224307e+01, 1.05264233984e-05, 5.04829969222e+06
 9.30000000000e+01, 2.30000000000e+07, 1.35989100524e+01, 1.05467416718e-05, 5.05510529970e+06
 9.30000000000e+01, 2.40000000000e+07, 1.41231326898e+01, 1.05676009910e-05, 5.06194836176e+06
 9.30000000000e+01, 2.50000000000e+07, 1.46423597708e+01, 1.05889837166e-05, 5.06882777639e+06
 9.30000000000e+01, 2.60000000000e+07, 1.51566602180e+01, 1.06108727626e-05, 5.07574245513e+06
 9.35000000000e+01, 6.00000000000e+06, 3.84926938359e+00, 1.03012416481e-05, 4.95262659592e+06
 9.35000000000e+01, 7.00000000000e+06, 4.46844847495e+00, 1.03099650860e-05, 4.95870757379e+06
 9.35000000000e+01, 8.00000000000e+06, 5.08143716608e+00, 1.03195974771e-05, 4.96483837598e+06
 9.35000000000e+01, 9.00000000000e+06, 5.68830775174e+00, 1.03301104584e-05, 4.97101913075e+06
 9.35000000000e+01, 1.00000000000e+07, 6.28913204871e+00, 1.03414764419e-05, 4.97724972755e+06
 9.35000000000e+01, 1.10000000000e+07, 6.88398158813e+00, 1.03536686001e-05, 4.98352985314e+06
 9.35000000000e+01, 1.20000000000e+07, 7.47292774886e+00, 1.03666608526e-05, 4.98985902348e+06
 9.35000000000e+01, 1.30000000000e+07, 8.05604184305e+00, 1.03804278530e-05, 4.99623661177e+06
 9.35000000000e+01, 1.40000000000e+07, 8.63339516361e+00, 1.03949449756e-05, 5.00266187299e+06
 9.35000000000e+01, 1.50000000000e+07, 9.20505900165e+00, 1.04101883033e-05, 5.00913396548e+06
 9.35000000000e+01, 1.60000000000e+07, 9.77110464039e+00, 1.04261346137e-05, 5.01565196969e+06
 9.35000000000e+01, 1.70000000000e+07, 1.03316033314e+01, 1.04427613666e-05, 5.02221490462e+06
 9.35000000000e+01, 1.80000000000e+07, 1.08866262576e+01, 1.04600466900e-05, 5.02882174198e+06
 9.35000000000e+01, 1.90000000000e+07, 1.14362444869e+01, 1.04779693663e-05, 5.03547141853e+06
